Journal name,ISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
Epigenetics & Chromatin,1756-8935,GENETICS & HEREDITY - SCIE,2461,4.954,Q1,1.15,100%
DNA REPAIR,1568-7856,GENETICS & HEREDITY - SCIE,7382,4.913,Q1,0.92,13.62%
Forensic Science International-Genetics,1878-0326,GENETICS & HEREDITY - SCIE,6013,4.882,Q1,1.76,10%
HUMAN MUTATION,1098-1004,GENETICS & HEREDITY - SCIE,16381,4.878,Q2,1.16,20.47%
MOLECULAR GENETICS AND METABOLISM,1096-7206,GENETICS & HEREDITY - SCIE,9612,4.797,Q2,0.96,20.21%
Epigenomics,1750-192X,GENETICS & HEREDITY - SCIE,3848,4.778,Q2,1.03,16.98%
Human Genomics,1479-7364,GENETICS & HEREDITY - SCIE,2039,4.639,Q2,0.83,100%
Frontiers in Genetics,1664-8021,GENETICS & HEREDITY - SCIE,18705,4.599,Q2,0.92,100%
JOURNAL OF MOLECULAR MEDICINE-JMM,1432-1440,GENETICS & HEREDITY - SCIE,9445,4.599,Q2,1.12,26.49%
JOURNAL OF GENE MEDICINE,1521-2254,GENETICS & HEREDITY - SCIE,2294,4.565,Q2,0.73,5.86%
GENETICS,1943-2631,GENETICS & HEREDITY - SCIE,46408,4.562,Q2,1.08,17.05%
Epigenetics,1559-2308,GENETICS & HEREDITY - SCIE,6347,4.528,Q2,1.01,13.90%
DNA RESEARCH,1756-1663,GENETICS & HEREDITY - SCIE,3726,4.458,Q2,1.12,100%
CLINICAL GENETICS,1399-0004,GENETICS & HEREDITY - SCIE,9278,4.438,Q2,0.92,10.70%
CURRENT GENE THERAPY,1875-5631,GENETICS & HEREDITY - SCIE,1576,4.391,Q2,0.5,0%
CHROMOSOMA,1432-0886,GENETICS & HEREDITY - SCIE,3633,4.316,Q2,0.71,26%
GENETICS SELECTION EVOLUTION,1297-9686,GENETICS & HEREDITY - SCIE,4473,4.297,Q2,1.6,100%
MOLECULAR PHYLOGENETICS AND EVOLUTION,1095-9513,GENETICS & HEREDITY - SCIE,22497,4.286,Q2,1.05,3.87%
Journal of Genetics and Genomics,1873-5533,GENETICS & HEREDITY - SCIE,2754,4.275,Q2,0.66,10.32%
EUROPEAN JOURNAL OF HUMAN GENETICS,1476-5438,GENETICS & HEREDITY - SCIE,12623,4.246,Q2,0.91,28.68%
Briefings in Functional Genomics,2041-2657,GENETICS & HEREDITY - SCIE,2186,4.241,Q2,0.84,22.13%
MITOCHONDRION,1872-8278,GENETICS & HEREDITY - SCIE,4982,4.16,Q2,0.81,9.94%
HUMAN GENETICS,1432-1203,GENETICS & HEREDITY - SCIE,10191,4.132,Q2,1.09,25.51%
Orphanet Journal of Rare Diseases,1750-1172,GENETICS & HEREDITY - SCIE,10742,4.123,Q2,0.92,100%
Genes,2073-4425,GENETICS & HEREDITY - SCIE,11556,4.096,Q2,0.78,100%
Plant Genome,1940-3372,GENETICS & HEREDITY - SCIE,2353,4.089,Q2,1.17,100%
Molecular Diagnosis & Therapy,1179-2000,GENETICS & HEREDITY - SCIE,1598,4.074,Q2,0.82,12.37%
Cancer Genomics & Proteomics,1790-6245,GENETICS & HEREDITY - SCIE,1541,4.069,Q2,0.78,0%
Mobile DNA,1759-8753,GENETICS & HEREDITY - SCIE,1212,4.06,Q2,0.86,100%
BMC GENOMICS,1471-2164,GENETICS & HEREDITY - SCIE,51069,3.969,Q2,0.99,100%
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4876,GENETICS & HEREDITY - SCIE,3067,3.908,Q2,1.11,10.95%
CURRENT GENETICS,1432-0983,GENETICS & HEREDITY - SCIE,4615,3.886,Q2,0.67,15.33%
HEREDITY,1365-2540,GENETICS & HEREDITY - SCIE,10968,3.821,Q2,0.98,28.77%
EVOLUTION,1558-5646,GENETICS & HEREDITY - SCIE,33940,3.694,Q2,1.02,16.45%
GENE,1879-0038,GENETICS & HEREDITY - SCIE,33228,3.688,Q2,0.88,0.98%
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1552-485X,GENETICS & HEREDITY - SCIE,4408,3.568,Q2,0.91,18.29%
PHARMACOGENOMICS JOURNAL,1473-1150,GENETICS & HEREDITY - SCIE,3275,3.55,Q2,0.98,14.34%
FUNGAL GENETICS AND BIOLOGY,1096-0937,GENETICS & HEREDITY - SCIE,6678,3.495,Q2,0.96,14.59%
Neurology-Genetics,2376-7839,GENETICS & HEREDITY - SCIE,1218,3.485,Q2,0.9,100%
PLASMID,1095-9890,GENETICS & HEREDITY - SCIE,1956,3.466,Q2,0.63,7.61%
DISEASE MARKERS,1875-8630,GENETICS & HEREDITY - SCIE,5699,3.434,Q2,0.77,100%
Genome Biology and Evolution,1759-6653,GENETICS & HEREDITY - SCIE,8785,3.416,Q2,0.88,99.87%
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1573-7330,GENETICS & HEREDITY - SCIE,7604,3.412,Q2,0.95,9.90%
FUNCTIONAL & INTEGRATIVE GENOMICS,1438-7948,GENETICS & HEREDITY - SCIE,2453,3.41,Q2,0.88,10.22%
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1557-8100,GENETICS & HEREDITY - SCIE,4250,3.374,Q2,0.58,4.83%
DNA AND CELL BIOLOGY,1557-7430,GENETICS & HEREDITY - SCIE,4750,3.311,Q2,0.74,2.06%
MOLECULAR GENETICS AND GENOMICS,1617-4623,GENETICS & HEREDITY - SCIE,5509,3.291,Q2,0.76,10.05%
HEREDITAS,1601-5223,GENETICS & HEREDITY - SCIE,1955,3.271,Q3,0.64,100%
BMC EVOLUTIONARY BIOLOGY,1471-2148,GENETICS & HEREDITY - SCIE,14888,3.26,Q3,0.83,100%
JOURNAL OF APPLIED GENETICS,2190-3883,GENETICS & HEREDITY - SCIE,1878,3.24,Q3,0.58,42.69%
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,1098-2280,GENETICS & HEREDITY - SCIE,4142,3.216,Q3,0.76,12.50%
JOURNAL OF HUMAN GENETICS,1435-232X,GENETICS & HEREDITY - SCIE,5269,3.172,Q3,0.77,8.16%
ANIMAL GENETICS,1365-2052,GENETICS & HEREDITY - SCIE,4848,3.169,Q3,1.09,12.96%
G3-Genes Genomes Genetics,2160-1836,GENETICS & HEREDITY - SCIE,8340,3.154,Q3,0.8,100%
PHYSIOLOGICAL GENOMICS,1531-2267,GENETICS & HEREDITY - SCIE,5242,3.107,Q3,0.61,9.91%
BMC Medical Genomics,1755-8794,GENETICS & HEREDITY - SCIE,3830,3.063,Q3,0.77,100%
PRENATAL DIAGNOSIS,1097-0223,GENETICS & HEREDITY - SCIE,7537,3.05,Q3,0.86,12.30%
MUTAGENESIS,1464-3804,GENETICS & HEREDITY - SCIE,3982,3,Q3,0.85,5.98%
MAMMALIAN GENOME,1432-1777,GENETICS & HEREDITY - SCIE,3060,2.957,Q3,0.53,33.88%
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1879-3592,GENETICS & HEREDITY - SCIE,7037,2.873,Q3,0.73,9.30%
IMMUNOGENETICS,1432-1211,GENETICS & HEREDITY - SCIE,3776,2.846,Q3,0.6,25.75%
BEHAVIOR GENETICS,1573-3297,GENETICS & HEREDITY - SCIE,3306,2.805,Q3,0.81,30.89%
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1552-4833,GENETICS & HEREDITY - SCIE,15065,2.802,Q3,0.61,7.73%
BMC GENETICS,1471-2156,GENETICS & HEREDITY - SCIE,5363,2.797,Q3,0.69,100%
Molecular Genetics and Metabolism Reports,2214-4269,GENETICS & HEREDITY - SCIE,1066,2.797,Q3,0.58,100%
EVOLUTIONARY ECOLOGY,1573-8477,GENETICS & HEREDITY - SCIE,4056,2.717,Q3,0.61,14.11%
European Journal of Medical Genetics,1878-0849,GENETICS & HEREDITY - SCIE,3301,2.708,Q3,0.62,5.43%
GENES AND IMMUNITY,1476-5470,GENETICS & HEREDITY - SCIE,3029,2.676,Q3,0.78,16.82%
Comparative Biochemistry and Physiology D-Genomics & Proteomics,1878-0407,GENETICS & HEREDITY - SCIE,1466,2.674,Q3,0.71,3.65%
NEUROGENETICS,1364-6753,GENETICS & HEREDITY - SCIE,1390,2.66,Q3,0.79,13.95%
JOURNAL OF HEREDITY,1465-7333,GENETICS & HEREDITY - SCIE,6842,2.645,Q3,0.71,12.81%
MOLECULAR BREEDING,1572-9788,GENETICS & HEREDITY - SCIE,6948,2.589,Q3,0.88,10.71%
CONSERVATION GENETICS,1572-9737,GENETICS & HEREDITY - SCIE,4547,2.538,Q3,0.62,17.46%
Journal of Genetic Counseling,1573-3599,GENETICS & HEREDITY - SCIE,3064,2.537,Q3,0.87,8.43%
Cancer Genetics,2210-7770,GENETICS & HEREDITY - SCIE,1569,2.523,Q3,0.61,7.77%
GENESIS,1526-968X,GENETICS & HEREDITY - SCIE,4396,2.487,Q3,0.43,12.10%
PSYCHIATRIC GENETICS,1473-5873,GENETICS & HEREDITY - SCIE,1003,2.458,Q3,0.4,1.39%
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,1873-135X,GENETICS & HEREDITY - SCIE,7739,2.433,Q3,0.52,2.17%
JOURNAL OF EVOLUTIONARY BIOLOGY,1420-9101,GENETICS & HEREDITY - SCIE,11780,2.411,Q3,0.67,18.86%
Human Gene Therapy Methods,1946-6544,GENETICS & HEREDITY - SCIE,688,2.396,Q3,0.65,12.50%
JOURNAL OF MOLECULAR EVOLUTION,1432-1432,GENETICS & HEREDITY - SCIE,8871,2.395,Q3,0.47,16.41%
Familial Cancer,1573-7292,GENETICS & HEREDITY - SCIE,2174,2.375,Q3,0.52,20.49%
VIRUS GENES,1572-994X,GENETICS & HEREDITY - SCIE,3101,2.332,Q3,0.53,9.36%
International Journal of Genomics,2314-4378,GENETICS & HEREDITY - SCIE,1224,2.326,Q3,0.46,100%
Tree Genetics & Genomes,1614-2950,GENETICS & HEREDITY - SCIE,3336,2.297,Q3,0.82,10.73%
CURRENT GENOMICS,1875-5488,GENETICS & HEREDITY - SCIE,2721,2.236,Q3,0.38,0%
NEW GENETICS AND SOCIETY,1469-9915,GENETICS & HEREDITY - SCIE,491,2.189,Q3,0.89,17.57%
Molecular Genetics & Genomic Medicine,2324-9269,GENETICS & HEREDITY - SCIE,2408,2.183,Q3,0.55,100%
GENOME,1480-3321,GENETICS & HEREDITY - SCIE,4699,2.166,Q3,0.56,1.42%
GENETIC EPIDEMIOLOGY,1098-2272,GENETICS & HEREDITY - SCIE,3316,2.135,Q3,0.59,18.64%
BMC Medical Genetics,1471-2350,GENETICS & HEREDITY - SCIE,4080,2.103,Q3,0.47,100%
Pharmacogenetics and Genomics,1744-6880,GENETICS & HEREDITY - SCIE,3514,2.089,Q4,0.76,4.82%
Genes and Environment,1880-7062,GENETICS & HEREDITY - SCIE,389,2.085,Q4,0.48,100%
Lifestyle Genomics,2504-3188,GENETICS & HEREDITY - SCIE,62,2.083,Q4,0.3,91.30%
Molecular Cytogenetics,1755-8166,GENETICS & HEREDITY - SCIE,1029,2.009,Q4,0.36,100%
Public Health Genomics,1662-8063,GENETICS & HEREDITY - SCIE,914,2,Q4,0.48,7.94%
Cellular Reprogramming,2152-4998,GENETICS & HEREDITY - SCIE,806,1.987,Q4,0.45,6.19%
Advances in Genetics,0065-2660,GENETICS & HEREDITY - SCIE,1773,1.944,Q4,0.31,0%
EVOLUTION & DEVELOPMENT,1525-142X,GENETICS & HEREDITY - SCIE,2032,1.93,Q4,0.52,11.90%
GENES TO CELLS,1365-2443,GENETICS & HEREDITY - SCIE,4416,1.891,Q4,0.38,12.28%
BIOCHEMICAL GENETICS,1573-4927,GENETICS & HEREDITY - SCIE,1488,1.89,Q4,0.46,5.75%
Genes & Genomics,2092-9293,GENETICS & HEREDITY - SCIE,1201,1.839,Q4,0.36,4.41%
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,2162-6502,GENETICS & HEREDITY - SCIE,1282,1.807,Q4,0.46,0%
OPHTHALMIC GENETICS,1744-5094,GENETICS & HEREDITY - SCIE,1372,1.803,Q4,0.45,1.83%
Comparative Cytogenetics,1993-078X,GENETICS & HEREDITY - SCIE,494,1.8,Q4,0.54,100%
Genetic Testing and Molecular Biomarkers,1945-0257,GENETICS & HEREDITY - SCIE,1808,1.795,Q4,0.36,2.75%
GENETICS AND MOLECULAR BIOLOGY,1678-4685,GENETICS & HEREDITY - SCIE,3263,1.771,Q4,0.38,100%
Medizinische Genetik,1863-5490,GENETICS & HEREDITY - SCIE,136,1.724,Q4,0.25,53.49%
Marine Genomics,1876-7478,GENETICS & HEREDITY - SCIE,1306,1.71,Q4,0.54,10.10%
ANNALS OF HUMAN GENETICS,1469-1809,GENETICS & HEREDITY - SCIE,2029,1.67,Q4,0.41,9.30%
CYTOGENETIC AND GENOME RESEARCH,1424-859X,GENETICS & HEREDITY - SCIE,3330,1.636,Q4,0.3,1.55%
Molecular Syndromology,1661-8777,GENETICS & HEREDITY - SCIE,875,1.631,Q4,0.3,5.30%
Genetics Research,1469-5073,GENETICS & HEREDITY - SCIE,2126,1.588,Q4,0.26,69.57%
Twin Research and Human Genetics,1839-2628,GENETICS & HEREDITY - SCIE,2101,1.587,Q4,0.47,24.89%
THEORETICAL POPULATION BIOLOGY,1096-0325,GENETICS & HEREDITY - SCIE,4374,1.57,Q4,0.46,10.37%
GENES & GENETIC SYSTEMS,1880-5779,GENETICS & HEREDITY - SCIE,880,1.517,Q4,0.24,1.15%
Mitochondrial DNA Part A,2470-1408,GENETICS & HEREDITY - SCIE,1680,1.514,Q4,0.34,0.69%
International Journal of Immunogenetics,1744-313X,GENETICS & HEREDITY - SCIE,791,1.466,Q4,0.33,6.02%
JOURNAL OF NEUROGENETICS,1563-5260,GENETICS & HEREDITY - SCIE,807,1.25,Q4,0.32,13.39%
GENE EXPRESSION PATTERNS,1872-7298,GENETICS & HEREDITY - SCIE,1536,1.224,Q4,0.33,9.45%
JOURNAL OF GENETICS,0973-7731,GENETICS & HEREDITY - SCIE,2232,1.166,Q4,0.25,0%
GENETICA,1573-6857,GENETICS & HEREDITY - SCIE,2983,1.082,Q4,0.31,2.68%
Conservation Genetics Resources,1877-7260,GENETICS & HEREDITY - SCIE,2398,0.973,Q4,0.3,5.57%
CARYOLOGIA,2165-5391,GENETICS & HEREDITY - SCIE,953,0.918,Q4,0.24,54.69%
CLINICAL DYSMORPHOLOGY,1473-5717,GENETICS & HEREDITY - SCIE,633,0.816,Q4,0.18,0.74%
SILVAE GENETICA,2509-8934,GENETICS & HEREDITY - SCIE,986,0.795,Q4,0.29,72.88%
CYTOLOGIA,0011-4545,GENETICS & HEREDITY - SCIE,1071,0.791,Q4,0.16,0%
Genetika-Belgrade,1820-6069,GENETICS & HEREDITY - SCIE,547,0.761,Q4,0.2,100%
Mitochondrial DNA Part B-Resources,2380-2359,GENETICS & HEREDITY - SCIE,2584,0.658,Q4,0.21,0.07%
RUSSIAN JOURNAL OF GENETICS,1608-3369,GENETICS & HEREDITY - SCIE,1850,0.581,Q4,0.12,0%
Cytology and Genetics,1934-9440,GENETICS & HEREDITY - SCIE,376,0.579,Q4,0.13,0%
HUMAN BIOLOGY,1534-6617,GENETICS & HEREDITY - SCIE,1866,0.553,Q4,0.2,0%
Balkan Journal of Medical Genetics,1311-0160,GENETICS & HEREDITY - SCIE,210,0.519,Q4,0.13,100%
HUMAN HEREDITY,1423-0062,GENETICS & HEREDITY - SCIE,975,0.444,Q4,0.13,0%
INTERNATIONAL JOURNAL OF HUMAN GENETICS,2456-6330,GENETICS & HEREDITY - SCIE,152,0.226,Q4,0.04,0%
Journal of Cachexia Sarcopenia and Muscle,2190-6009,GERIATRICS & GERONTOLOGY - SCIE,5908,12.91,Q1,3.07,100%
AGEING RESEARCH REVIEWS,1872-9649,GERIATRICS & GERONTOLOGY - SCIE,10264,10.895,Q1,1.55,15.51%
AGE AND AGEING,1468-2834,GERIATRICS & GERONTOLOGY - SCIE,17130,10.668,Q1,2.06,29.03%
AGING CELL,1474-9726,GERIATRICS & GERONTOLOGY - SCIE,13890,9.304,Q1,1.82,100%
GeroScience,2509-2723,GERIATRICS & GERONTOLOGY - SCIE,1597,7.713,Q1,1.84,19.78%
Aging and Disease,2152-5250,GERIATRICS & GERONTOLOGY - SCIE,4050,6.745,Q1,1.3,100%
Immunity & Ageing,1742-4933,GERIATRICS & GERONTOLOGY - SCIE,1468,6.4,Q1,1.05,100%
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1758-535X,GERIATRICS & GERONTOLOGY - SCIE,26686,6.053,Q1,1.82,14.16%
Frontiers in Aging Neuroscience,1663-4365,GERIATRICS & GERONTOLOGY - SCIE,13654,5.75,Q1,1.11,100%
Aging-US,1945-4589,GERIATRICS & GERONTOLOGY - SCIE,13864,5.682,Q1,1.13,0%
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,1532-5415,GERIATRICS & GERONTOLOGY - SCIE,42003,5.562,Q1,1.52,5.68%
MECHANISMS OF AGEING AND DEVELOPMENT,1872-6216,GERIATRICS & GERONTOLOGY - SCIE,7302,5.432,Q1,1.1,16.78%
GERONTOLOGY,1423-0003,GERIATRICS & GERONTOLOGY - SCIE,5721,5.14,Q1,0.93,11.11%
NEUROBIOLOGY OF AGING,1558-1497,GERIATRICS & GERONTOLOGY - SCIE,27226,4.673,Q2,1.3,14.59%
Journal of the American Medical Directors Association,1538-9375,GERIATRICS & GERONTOLOGY - SCIE,13307,4.669,Q2,1.16,7.09%
REJUVENATION RESEARCH,1557-8577,GERIATRICS & GERONTOLOGY - SCIE,2494,4.663,Q2,1.1,4%
Clinical Interventions in Aging,1178-1998,GERIATRICS & GERONTOLOGY - SCIE,8509,4.458,Q2,0.82,100%
MATURITAS,1873-4111,GERIATRICS & GERONTOLOGY - SCIE,9715,4.342,Q2,1.14,6.43%
BIOGERONTOLOGY,1573-6768,GERIATRICS & GERONTOLOGY - SCIE,3296,4.277,Q2,1.06,22.29%
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,1545-7214,GERIATRICS & GERONTOLOGY - SCIE,9399,4.105,Q2,1.14,6.23%
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1758-5368,GERIATRICS & GERONTOLOGY - SCIE,13075,4.077,Q2,1.47,9.43%
Journal of Nutrition Health & Aging,1760-4788,GERIATRICS & GERONTOLOGY - SCIE,7384,4.075,Q2,0.85,8.77%
EXPERIMENTAL GERONTOLOGY,1873-6815,GERIATRICS & GERONTOLOGY - SCIE,12714,4.032,Q2,1.01,6.64%
DRUGS & AGING,1179-1969,GERIATRICS & GERONTOLOGY - SCIE,4536,3.923,Q2,0.74,16.44%
BMC Geriatrics,1471-2318,GERIATRICS & GERONTOLOGY - SCIE,10235,3.921,Q2,1.01,100%
INTERNATIONAL PSYCHOGERIATRICS,1741-203X,GERIATRICS & GERONTOLOGY - SCIE,9732,3.878,Q2,0.99,11.98%
European Review of Aging and Physical Activity,1861-6909,GERIATRICS & GERONTOLOGY - SCIE,720,3.878,Q2,0.79,100%
AGING & MENTAL HEALTH,1364-6915,GERIATRICS & GERONTOLOGY - SCIE,9359,3.658,Q3,1.05,10.57%
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1720-8319,GERIATRICS & GERONTOLOGY - SCIE,6148,3.636,Q3,0.81,17.65%
Journal of Geriatric Oncology,1879-4076,GERIATRICS & GERONTOLOGY - SCIE,2422,3.599,Q3,0.7,6.11%
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,1099-1166,GERIATRICS & GERONTOLOGY - SCIE,12377,3.485,Q3,0.94,17.95%
Journal of Geriatric Physical Therapy,2152-0895,GERIATRICS & GERONTOLOGY - SCIE,1487,3.381,Q3,1.29,2.17%
Journal of Geriatric Cardiology,1671-5411,GERIATRICS & GERONTOLOGY - SCIE,1835,3.327,Q3,0.54,0%
ARCHIVES OF GERONTOLOGY AND GERIATRICS,1872-6976,GERIATRICS & GERONTOLOGY - SCIE,8210,3.25,Q3,0.77,5.88%
CLINICS IN GERIATRIC MEDICINE,1879-8853,GERIATRICS & GERONTOLOGY - SCIE,3138,3.076,Q3,0.88,0%
GERODONTOLOGY,1741-2358,GERIATRICS & GERONTOLOGY - SCIE,2232,2.98,Q3,0.69,7.02%
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1421-9824,GERIATRICS & GERONTOLOGY - SCIE,5326,2.959,Q3,0.71,10.47%
Geriatrics & Gerontology International,1447-0594,GERIATRICS & GERONTOLOGY - SCIE,5879,2.73,Q3,0.75,8.20%
JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,1552-5708,GERIATRICS & GERONTOLOGY - SCIE,2184,2.68,Q3,0.67,8.24%
Clinical Gerontologist,1545-2301,GERIATRICS & GERONTOLOGY - SCIE,1478,2.619,Q4,0.89,1.80%
Psychogeriatrics,1479-8301,GERIATRICS & GERONTOLOGY - SCIE,1252,2.44,Q4,0.58,6.69%
GERIATRIC NURSING,1528-3984,GERIATRICS & GERONTOLOGY - SCIE,2084,2.361,Q4,0.81,6.53%
International Journal of Older People Nursing,1748-3743,GERIATRICS & GERONTOLOGY - SCIE,1121,2.115,Q4,0.7,12.58%
AUSTRALASIAN JOURNAL ON AGEING,1741-6612,GERIATRICS & GERONTOLOGY - SCIE,1687,2.111,Q4,0.49,10.47%
American Journal of Alzheimers Disease and Other Dementias,1938-2731,GERIATRICS & GERONTOLOGY - SCIE,2838,2.035,Q4,0.49,39.67%
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1543-267X,GERIATRICS & GERONTOLOGY - SCIE,2679,1.961,Q4,0.61,0.35%
Geriatric Orthopaedic Surgery & Rehabilitation,2151-4593,GERIATRICS & GERONTOLOGY - SCIE,817,1.87,Q4,0.57,100%
European Geriatric Medicine,1878-7657,GERIATRICS & GERONTOLOGY - SCIE,1288,1.71,Q4,0.32,22.07%
EXPERIMENTAL AGING RESEARCH,1096-4657,GERIATRICS & GERONTOLOGY - SCIE,1348,1.645,Q4,0.45,0%
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,1435-1269,GERIATRICS & GERONTOLOGY - SCIE,1311,1.281,Q4,0.38,16.90%
Journal of Gerontological Nursing,1938-243X,GERIATRICS & GERONTOLOGY - SCIE,1808,1.254,Q4,0.47,1.04%
International Journal of Gerontology,1873-958X,GERIATRICS & GERONTOLOGY - SCIE,579,0.877,Q4,0.21,100%
Turkish Journal of Geriatrics-Turk Geriatri Dergisi,1307-9948,GERIATRICS & GERONTOLOGY - SCIE,282,0.382,Q4,0.09,0%
npj Digital Medicine,2398-6352,HEALTH CARE SCIENCES & SERVICES - SCIE,2406,11.653,Q1,3.24,100%
Implementation Science,1748-5908,HEALTH CARE SCIENCES & SERVICES - SCIE,14750,7.327,Q1,2.12,100%
BMJ Quality & Safety,2044-5423,HEALTH CARE SCIENCES & SERVICES - SCIE,7335,7.035,Q1,2.26,38.46%
ACADEMIC MEDICINE,1938-808X,HEALTH CARE SCIENCES & SERVICES - SCIE,22828,6.893,Q1,2.14,6.34%
JOURNAL OF CLINICAL EPIDEMIOLOGY,1878-5921,HEALTH CARE SCIENCES & SERVICES - SCIE,36224,6.437,Q1,1.71,20.73%
HEALTH AFFAIRS,0278-2715,HEALTH CARE SCIENCES & SERVICES - SCIE,22442,6.301,Q1,2.32,10.54%
MEDICAL EDUCATION,1365-2923,HEALTH CARE SCIENCES & SERVICES - SCIE,14132,6.251,Q1,2.13,16.90%
JOURNAL OF TELEMEDICINE AND TELECARE,1758-1109,HEALTH CARE SCIENCES & SERVICES - SCIE,5052,6.184,Q1,1.46,3.92%
VALUE IN HEALTH,1524-4733,HEALTH CARE SCIENCES & SERVICES - SCIE,12642,5.725,Q1,1.67,25.14%
JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,HEALTH CARE SCIENCES & SERVICES - SCIE,26102,5.428,Q1,1.55,99.12%
JOURNAL OF GENERAL INTERNAL MEDICINE,1525-1497,HEALTH CARE SCIENCES & SERVICES - SCIE,26727,5.128,Q1,1.48,5.56%
International Journal of Integrated Care,1568-4156,HEALTH CARE SCIENCES & SERVICES - SCIE,2034,5.12,Q1,0.87,100%
International Journal of Health Policy and Management,2322-5939,HEALTH CARE SCIENCES & SERVICES - SCIE,2118,5.007,Q1,1.15,100%
PHARMACOECONOMICS,1179-2027,HEALTH CARE SCIENCES & SERVICES - SCIE,6543,4.981,Q1,1.29,42.07%
Journal of Personalized Medicine,2075-4426,HEALTH CARE SCIENCES & SERVICES - SCIE,1071,4.945,Q1,1.29,100%
MILBANK QUARTERLY,1468-0009,HEALTH CARE SCIENCES & SERVICES - SCIE,4632,4.911,Q1,1.7,27.84%
JMIR mHealth and uHealth,2291-5222,HEALTH CARE SCIENCES & SERVICES - SCIE,7694,4.773,Q1,1.33,100%
PALLIATIVE MEDICINE,1477-030X,HEALTH CARE SCIENCES & SERVICES - SCIE,7332,4.762,Q1,1.45,37.78%
BMC Medical Research Methodology,1471-2288,HEALTH CARE SCIENCES & SERVICES - SCIE,16557,4.615,Q1,1.28,100%
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,1527-974X,HEALTH CARE SCIENCES & SERVICES - SCIE,12078,4.497,Q1,1.43,25.55%
JOURNAL OF MEDICAL SYSTEMS,1573-689X,HEALTH CARE SCIENCES & SERVICES - SCIE,8017,4.46,Q1,1.23,6.56%
JOURNAL OF RURAL HEALTH,1748-0361,HEALTH CARE SCIENCES & SERVICES - SCIE,2866,4.333,Q1,1.63,6.02%
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,2214-7829,HEALTH CARE SCIENCES & SERVICES - SCIE,1658,4.333,Q1,1.2,100%
QUALITY OF LIFE RESEARCH,1573-2649,HEALTH CARE SCIENCES & SERVICES - SCIE,19584,4.147,Q1,1.19,27.58%
JMIR Serious Games,2291-9279,HEALTH CARE SCIENCES & SERVICES - SCIE,641,4.143,Q1,1.06,85%
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,1872-8243,HEALTH CARE SCIENCES & SERVICES - SCIE,7651,4.046,Q1,1.13,10.48%
HEALTH TECHNOLOGY ASSESSMENT,2046-4924,HEALTH CARE SCIENCES & SERVICES - SCIE,6820,4.014,Q1,1.27,100%
MEDICAL CARE RESEARCH AND REVIEW,1552-6801,HEALTH CARE SCIENCES & SERVICES - SCIE,2973,3.929,Q2,1.33,4.65%
Patient-Patient Centered Outcomes Research,1178-1661,HEALTH CARE SCIENCES & SERVICES - SCIE,1738,3.883,Q2,1.08,40.32%
JOURNAL OF HEALTH ECONOMICS,1879-1646,HEALTH CARE SCIENCES & SERVICES - SCIE,9140,3.883,Q2,1.42,16.41%
ADVANCES IN HEALTH SCIENCES EDUCATION,1573-1677,HEALTH CARE SCIENCES & SERVICES - SCIE,3798,3.853,Q2,1.53,30.85%
MEDICAL TEACHER,1466-187X,HEALTH CARE SCIENCES & SERVICES - SCIE,12121,3.65,Q2,1.46,9.08%
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,1873-6513,HEALTH CARE SCIENCES & SERVICES - SCIE,15063,3.612,Q2,1.11,5.70%
SUPPORTIVE CARE IN CANCER,1433-7339,HEALTH CARE SCIENCES & SERVICES - SCIE,18289,3.603,Q2,1.12,14.60%
BMJ Supportive & Palliative Care,2045-4368,HEALTH CARE SCIENCES & SERVICES - SCIE,2039,3.568,Q2,1.07,15.22%
